id,EPA_ID,Site_Name,City,State,County,Non-NPL_Status_Code,Non-NPL_Status_Date,NPL_Status_Code,x,y
47,WAD009045279,ALCOA (VANCOUVER SMELTER),VANCOUVER,WA,CLARK,[Blank Code],[Blank Date],D,-122.661486,45.638728
48,WID980610380,ALGOMA MUNICIPAL LANDFILL,ALGOMA,WI,KEWAUNEE,[Blank Code],[Blank Date],F,-87.432589,44.608888
49,WV0170023691,ALLEGANY BALLISTICS LABORATORY (USNAVY),MINERAL COUNTY,WV,MINERAL,[Blank Code],[Blank Date],F,-78.883555,39.406899
50,OHD043730217,ALLIED CHEMICAL & IRONTON COKE,IRONTON,OH,LAWRENCE,[Blank Code],[Blank Date],F,-82.682941,38.536747
51,MID006007306,"ALLIED PAPER, INC./PORTAGE CREEK/KALAMAZOO RIVER",KALAMAZOO,MI,KALAMAZOO,[Blank Code],[Blank Date],F,-85.587229,42.291707
52,ORD009051442,"ALLIED PLATING, INC.",PORTLAND,OR,MULTNOMAH,[Blank Code],[Blank Date],D,-122.676482,45.523062
53,FLD041495441,ALPHA CHEMICAL CORP.,LAKELAND,FL,POLK,[Blank Code],[Blank Date],D,-81.949804,28.039465
54,OHD057243610,ALSCO ANACONDA,GNADENHUTTEN,OH,TUSCARAWAS,[Blank Code],[Blank Date],D,-81.434281,40.358401
55,GAD033582461,ALTERNATE ENERGY RESOURCES INC,AUGUSTA,GA,RICHMOND,[Blank Code],[Blank Date],F,-82.010515,33.473498
56,PAD000436436,AMBLER ASBESTOS PILES,AMBLER,PA,MONTGOMERY,[Blank Code],[Blank Date],D,-75.221565,40.154554
57,WIN000510210,AMCAST INDUSTRIAL CORPORATION,CEDARBURG,WI,OZAUKEE,[Blank Code],[Blank Date],F,-87.98759,43.296672
58,CA0001576081,AMCO CHEMICAL,OAKLAND,CA,ALAMEDA,[Blank Code],[Blank Date],F,-122.271114,37.804364
59,MID006029102,"AMERICAN ANODCO, INC.",IONIA,MI,IONIA,[Blank Code],[Blank Date],F,-85.071117,42.987255
60,ALD981868466,AMERICAN BRASS INC.,HEADLAND,AL,HENRY,[Blank Code],[Blank Date],F,-85.342156,31.351284
61,IND016360265,"AMERICAN CHEMICAL SERVICE, INC.",GRIFFITH,IN,LAKE,[Blank Code],[Blank Date],F,-87.42365,41.528369
62,MSD004006995,AMERICAN CREOSOTE WORKS INC,LOUISVILLE,MS,WINSTON,[Blank Code],[Blank Date],F,-89.055062,33.123738
63,TND007018799,"AMERICAN CREOSOTE WORKS, INC. (JACKSON PLANT)",JACKSON,TN,MADISON,[Blank Code],[Blank Date],F,-88.813947,35.614517
64,FLD008161994,"AMERICAN CREOSOTE WORKS, INC. (PENSACOLA PLANT)",PENSACOLA,FL,ESCAMBIA,[Blank Code],[Blank Date],F,-87.216915,30.421309
65,LAD000239814,"AMERICAN CREOSOTE WORKS, INC. (WINNFIELD PLANT)",WINNFIELD,LA,WINN PARISH,[Blank Code],[Blank Date],F,-92.639593,31.925441
66,WAD057311094,AMERICAN CROSSARM & CONDUIT CO.,CHEHALIS,WA,LEWIS,[Blank Code],[Blank Date],F,-122.964018,46.662048
67,NJD002173276,AMERICAN CYANAMID CO,BOUND BROOK,NJ,SOMERSET,[Blank Code],[Blank Date],F,-74.538489,40.568436
68,WAD980833065,AMERICAN LAKE GARDENS/MCCHORD AFB,TACOMA,WA,PIERCE,[Blank Code],[Blank Date],F,-122.444291,47.252877
69,NYD002066330,AMERICAN THERMOSTAT CO.,SOUTH CAIRO,NY,GREENE,[Blank Code],[Blank Date],F,-73.956798,42.277031
70,TND980729172,AMNICOLA DUMP,CHATTANOOGA,TN,HAMILTON,[Blank Code],[Blank Date],D,-85.30968,35.04563
71,ILD002994259,AMOCO CHEMICALS (JOLIET LANDFILL),JOLIET,IL,WILL,[Blank Code],[Blank Date],F,-88.081725,41.525031
72,PAD041421223,"AMP, INC. (GLEN ROCK FACILITY)",GLEN ROCK,PA,YORK,[Blank Code],[Blank Date],D,-76.73025,39.793158
73,FLD020536538,ANACONDA ALUMINUM CO./MILGO ELECTRONICS CORP.,MIAMI,FL,MIAMI-DADE,[Blank Code],[Blank Date],D,-80.19179,25.76168
74,MTD093291656,ANACONDA CO. SMELTER,ANACONDA,MT,DEER LODGE,[Blank Code],[Blank Date],F,-112.947836,46.1263
75,NYD001485226,ANCHOR CHEMICALS,HICKSVILLE,NY,NASSAU,[Blank Code],[Blank Date],D,-73.525125,40.768433
76,GU6571999519,ANDERSEN AIR FORCE BASE,YIGO,GU,GUAM,[Blank Code],[Blank Date],F,144.885556,13.534444
77,MID002931228,ANDERSON DEVELOPMENT CO.,ADRIAN,MI,LENAWEE,[Blank Code],[Blank Date],D,-84.037166,41.897547
78,MD0570024000,ANDREWS AIR FORCE BASE,ANDREWS AIR FORCE BASE,MD,PRINCE GEORGE'S,[Blank Code],[Blank Date],F,-76.883626,38.79652
79,MO0000958611,ANNAPOLIS LEAD MINE,ANNAPOLIS,MO,IRON,[Blank Code],[Blank Date],F,-90.69762,37.360327
80,AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),ANNISTON,AL,CALHOUN,[Blank Code],[Blank Date],F,-85.831632,33.659826
81,FLD981014368,"ANODYNE, INC.",NORTH MIAMI BEACH,FL,MIAMI-DADE,[Blank Code],[Blank Date],F,-80.162546,25.933149
82,AZD008399263,APACHE POWDER CO.,SAINT DAVID,AZ,COCHISE,[Blank Code],[Blank Date],F,-110.21424,31.904252
83,NYD980535652,APPLIED ENVIRONMENTAL SERVICES,GLENWOOD LANDING,NY,NASSAU,[Blank Code],[Blank Date],F,-73.638739,40.830656
84,CAD042728840,APPLIED MATERIALS,SANTA CLARA,CA,SANTA CLARA,[Blank Code],[Blank Date],F,-121.955236,37.354108
85,SCD058754789,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),GREER,SC,SPARTANBURG,[Blank Code],[Blank Date],F,-82.227057,34.938728
86,OHD017506171,ARCANUM IRON & METAL,DARKE COUNTY,OH,DARKE,[Blank Code],[Blank Date],D,-84.689749,40.105657
87,AKD980988158,ARCTIC SURPLUS,FAIRBANKS,AK,FAIRBANKS NORTH STAR BORO,[Blank Code],[Blank Date],D,-147.716389,64.837778
88,KSD980500789,ARKANSAS CITY DUMP,ARKANSAS CITY,KS,COWLEY,[Blank Code],[Blank Date],D,-97.038371,37.061974
89,FLSFN0406909,ARKLA TERRA PROPERTY,THONOTOSASSA,FL,HILLSBOROUGH,[Blank Code],[Blank Date],F,-82.302313,28.061407
90,ARD084930148,"ARKWOOD, INC.",OMAHA,AR,BOONE,[Blank Code],[Blank Date],F,-93.188513,36.452288
91,TND980468557,ARLINGTON BLENDING & PACKAGING,ARLINGTON,TN,SHELBY,[Blank Code],[Blank Date],F,-89.661469,35.296197
92,OHD074705930,ARMCO INCORPORATION-HAMILTON PLANT,HAMILTON,OH,BUTLER,SA,02/19/2004,P,-84.561335,39.399501
93,MOD046750253,ARMOUR ROAD,NORTH KANSAS CITY,MO,CLAY,[Blank Code],[Blank Date],F,-94.572978,39.142908
94,GAN000410033,ARMSTRONG WORLD INDUSTRIES,MACON,GA,BIBB,[Blank Code],[Blank Date],F,-83.632402,32.840695
95,DED980494496,ARMY CREEK LANDFILL,NEW CASTLE,DE,NEW CASTLE,[Blank Code],[Blank Date],F,-75.566817,39.66204
96,IDD000800961,ARRCOM (DREXLER ENTERPRISES),RATHDRUM,ID,KOOTENAI,[Blank Code],[Blank Date],D,-116.896586,47.812403
97,VAD042916361,"ARROWHEAD ASSOCIATES, INC./SCOVILL CORP.",MONTROSS,VA,WESTMORELAND,[Blank Code],[Blank Date],F,-76.827464,38.095132
98,MND980823975,ARROWHEAD REFINERY CO.,HERMANTOWN,MN,ST. LOUIS,[Blank Code],[Blank Date],F,-92.238246,46.806885
99,NDD980716963,ARSENIC TRIOXIDE SITE,SOUTHEAST,ND,"RICHLAND, RANSOM, SARGENT",[Blank Code],[Blank Date],D,-101.002012,47.551493
100,ILN000508170,ASARCO TAYLOR SPRINGS,TAYLOR SPRINGS,IL,MONTGOMERY,[Blank Code],[Blank Date],F,-89.492031,39.130881
101,COD007063530,"ASARCO, INC. (GLOBE PLANT)",DENVER,CO,ADAMS,[Blank Code],[Blank Date],P,-104.990251,39.739236
102,NJD980654149,ASBESTOS DUMP,MILLINGTON,NJ,MORRIS,[Blank Code],[Blank Date],D,-74.52348,40.673608
103,WISFN0507952,ASHLAND/NORTHERN STATES POWER LAKEFRONT,ASHLAND,WI,ASHLAND,[Blank Code],[Blank Date],F,-90.883798,46.592443
104,OR0002392793,ASTORIA MARINE CONSTRUCTION COMPANY,ASTORIA,OR,CLATSOP,SD,09/10/2012,P,-123.831253,46.187884
105,NMD043158591,AT & SF (CLOVIS),CLOVIS,NM,CURRY,[Blank Code],[Blank Date],D,-103.205227,34.404799
106,NMD980622864,AT&SF (ALBUQUERQUE),ALBUQUERQUE,NM,BERNALILLO,[Blank Code],[Blank Date],F,-106.605553,35.085334
107,PRN000204694,ATLANTIC FLEET WEAPONS TRAINING AREA,VIEQUES,PR,VIEQUES,[Blank Code],[Blank Date],F,-65.440098,18.126285
108,NJD981558430,ATLANTIC RESOURCES,SAYREVILLE,NJ,MIDDLESEX,[Blank Code],[Blank Date],F,-74.360846,40.459402
109,VAD990710410,"ATLANTIC WOOD INDUSTRIES, INC.",PORTSMOUTH,VA,PORTSMOUTH CITY,[Blank Code],[Blank Date],F,-76.298274,36.835426
110,CAD980496863,ATLAS ASBESTOS MINE,COALINGA,CA,FRESNO,[Blank Code],[Blank Date],F,-120.36015,36.139678
111,MAD001026319,ATLAS TACK CORP.,FAIRHAVEN,MA,BRISTOL,[Blank Code],[Blank Date],F,-70.903649,41.637604
112,NHD980524086,AUBURN ROAD LANDFILL,LONDONDERRY,NH,ROCKINGHAM,[Blank Code],[Blank Date],F,-71.373927,42.86513
113,PAD987341716,AUSTIN AVENUE RADIATION SITE,DELAWARE COUNTY,PA,DELAWARE,[Blank Code],[Blank Date],D,-75.387853,39.907793
114,MID980794382,"AUTO ION CHEMICALS, INC.",KALAMAZOO,MI,KALAMAZOO,[Blank Code],[Blank Date],F,-85.587229,42.291707
115,PAD003053709,AVCO LYCOMING (WILLIAMSPORT DIVISION),WILLIAMSPORT,PA,LYCOMING,[Blank Code],[Blank Date],F,-77.001079,41.24119
116,MID980791461,"AVENUE ""E"" GROUND WATER CONTAMINATION",TRAVERSE CITY,MI,GRAND TRAVERSE,[Blank Code],[Blank Date],D,-85.620632,44.763057
117,VAD070358684,"AVTEX FIBERS, INC.",FRONT ROYAL,VA,WARREN,[Blank Code],[Blank Date],F,-78.194445,38.918167
118,FLD004574190,"B&B CHEMICAL CO., INC.",HIALEAH,FL,MIAMI-DADE,[Blank Code],[Blank Date],F,-80.278106,25.857596
119,KYD006370167,B.F. GOODRICH,CALVERT CITY,KY,MARSHALL,[Blank Code],[Blank Date],F,-88.350036,37.03339
120,CAN000905945,B.F. GOODRICH,RIALTO,CA,SAN BERNARDINO,[Blank Code],[Blank Date],F,-117.370323,34.1064
121,TXD980864649,BAILEY WASTE DISPOSAL,BRIDGE CITY,TX,ORANGE,[Blank Code],[Blank Date],D,-93.845726,30.020768
122,MAD001041987,BAIRD & MCGUIRE,HOLBROOK,MA,NORFOLK,[Blank Code],[Blank Date],F,-71.014118,42.144846
123,PAD061105128,BALLY GROUND WATER CONTAMINATION,BALLY,PA,BERKS,[Blank Code],[Blank Date],F,-75.587129,40.40232
124,TXN000606565,BANDERA ROAD GROUND WATER PLUME,SAN ANTONIO,TX,BEXAR,[Blank Code],[Blank Date],F,-98.493628,29.424122
125,WA5170027291,BANGOR NAVAL SUBMARINE BASE,SILVERDALE,WA,KITSAP,[Blank Code],[Blank Date],F,-122.69487,47.644539
126,WA7170027265,BANGOR ORDNANCE DISPOSAL (USNAVY),BREMERTON,WA,KITSAP,[Blank Code],[Blank Date],F,-122.632936,47.56732
127,NCSFN0406989,BARBER ORCHARD,WAYNESVILLE,NC,HAYWOOD,[Blank Code],[Blank Date],F,-82.988748,35.488715
128,PRD980509129,BARCELONETA LANDFILL,FLORIDA AFUERA,PR,FLORIDA MUNICIPALITY,[Blank Code],[Blank Date],D,-66.561086,18.366177
129,SCN000407714,BARITE HILL/NEVADA GOLDFIELDS,MCCORMICK,SC,MCCORMICK,[Blank Code],[Blank Date],F,-82.293459,33.913458
130,MT6122307485,BARKER HUGHESVILLE MINING DISTRICT,MONARCH,MT,"CASCADE, JUDITH BASIN",[Blank Code],[Blank Date],F,-110.838555,47.098295
131,CTD980732333,BARKHAMSTED-NEW HARTFORD LANDFILL,BARKHAMSTED,CT,LITCHFIELD,[Blank Code],[Blank Date],F,-72.91399,41.929263
132,MID017188673,"BARRELS, INC.",LANSING,MI,INGHAM,[Blank Code],[Blank Date],F,-84.555535,42.732535
133,CA8170024261,BARSTOW MARINE CORPS LOGISTICS BASE,BARSTOW,CA,SAN BERNARDINO,[Blank Code],[Blank Date],F,-117.017283,34.895796
134,MTD982572562,BASIN MINING AREA,BASIN,MT,JEFFERSON,[Blank Code],[Blank Date],F,-112.26362,46.271318
135,NYD980507693,BATAVIA LANDFILL,BATAVIA,NY,GENESEE,[Blank Code],[Blank Date],D,-78.187517,42.998116
136,ILN000510407,BAUTSCH-GRAY MINE,GALENA,IL,JO DAVIESS,[Blank Code],[Blank Date],F,-90.429017,42.416674
137,WYD061112470,BAXTER/UNION PACIFIC TIE TREATING,LARAMIE,WY,ALBANY,[Blank Code],[Blank Date],D,-105.591101,41.311367
138,MID981092935,BAY CITY MIDDLEGROUNDS,BAY CITY,MI,BAY,[Blank Code],[Blank Date],P,-83.888865,43.594468
139,LAD980745632,BAYOU BONFOUCA,SLIDELL,LA,ST. TAMMANY,[Blank Code],[Blank Date],F,-89.781175,30.275195
140,LAD980745541,BAYOU SORREL,BAYOU SORREL,LA,IBERVILLE PARISH,[Blank Code],[Blank Date],D,-91.414871,30.14432
141,MND982425209,BAYTOWN TOWNSHIP GROUND WATER PLUME,BAYTOWN TOWNSHIP,MN,WASHINGTON,[Blank Code],[Blank Date],F,-92.832397,45.011632
142,NJD980654123,BEACHWOOD/BERKLEY WELLS,BERKELEY TOWNSHIP,NJ,OCEAN,[Blank Code],[Blank Date],D,-74.182712,39.8972
143,CTD072122062,BEACON HEIGHTS LANDFILL,BEACON FALLS,CT,NEW HAVEN,[Blank Code],[Blank Date],F,-73.061761,41.442645
144,SCD000447268,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),FOUNTAIN INN,SC,GREENVILLE,[Blank Code],[Blank Date],F,-82.195668,34.68901
145,NYD980768675,BEC TRUCKING,VESTAL,NY,BROOME,[Blank Code],[Blank Date],D,-76.053813,42.085075
146,IND980904379,BECK'S LAKE,SOUTH BEND,IN,ST. JOSEPH,[Blank Code],[Blank Date],P,-86.25199,41.676355
147,CAD048645444,BECKMAN INSTRUMENTS (PORTERVILLE PLANT),PORTERVILLE,CA,TULARE,[Blank Code],[Blank Date],F,-119.016768,36.06523
148,MOD980860522,BEE CEE MANUFACTURING CO.,MALDEN,MO,DUNKLIN,[Blank Code],[Blank Date],F,-89.96648,36.557003
149,NHD018958140,BEEDE WASTE OIL,PLAISTOW,NH,ROCKINGHAM,[Blank Code],[Blank Date],F,-71.094781,42.836478
150,OHN000510164,BEHR DAYTON THERMAL SYSTEM VOC PLUME,DAYTON,OH,MONTGOMERY,[Blank Code],[Blank Date],F,-84.191607,39.758948
151,PAD980705107,BELL LANDFILL,TERRY TOWNSHIP,PA,BRADFORD,[Blank Code],[Blank Date],F,-76.340573,41.635275
152,ILD021440375,BELOIT CORP.,ROCKTON,IL,WINNEBAGO,[Blank Code],[Blank Date],F,-89.072332,42.452516
153,MD0120508940,BELTSVILLE AGRICULTURAL RESEARCH CENTER (USDA),BELTSVILLE,MD,PRINCE GEORGE'S,[Blank Code],[Blank Date],F,-76.907474,39.034832
154,ILD980497663,BELVIDERE MUNICIPAL LANDFILL,BELVIDERE,IL,BOONE,[Blank Code],[Blank Date],F,-88.844267,42.26391
155,MID005107222,BENDIX CORP./ALLIED AUTOMOTIVE,ST. JOSEPH,MI,BERRIEN,[Blank Code],[Blank Date],F,-86.489546,42.093858
156,PAD003047974,BENDIX FLIGHT SYSTEMS DIVISION,SOUTH MONTROSE,PA,SUSQUEHANNA,[Blank Code],[Blank Date],F,-75.891306,41.797299
157,NCD981026479,"BENFIELD INDUSTRIES, INC.",HAZELWOOD,NC,HAYWOOD,[Blank Code],[Blank Date],F,-83.004119,35.468732
158,IND006418651,BENNETT STONE QUARRY,BLOOMINGTON,IN,MONROE,[Blank Code],[Blank Date],F,-86.526386,39.165325
159,VTD981064223,BENNINGTON MUNICIPAL SANITARY LANDFILL,BENNINGTON,VT,BENNINGTON,[Blank Code],[Blank Date],F,-73.196774,42.878135
160,PAD980538649,BERKLEY PRODUCTS CO. DUMP,DENVER,PA,LANCASTER,[Blank Code],[Blank Date],D,-76.137168,40.233148
161,PAD000651810,BERKS LANDFILL,SPRING TOWNSHIP,PA,BERKS,[Blank Code],[Blank Date],D,-76.027586,40.29937
162,PAD980691794,BERKS SAND PIT,LONGSWAMP TOWNSHIP,PA,BERKS,[Blank Code],[Blank Date],F,-75.655721,40.492975
163,MID000605717,BERLIN & FARRO,SWARTZ CREEK,MI,GENESEE,[Blank Code],[Blank Date],D,-83.830514,42.957251
164,WIT560010118,BETTER BRITE PLATING CO. CHROME AND ZINC SHOPS,DE PERE,WI,BROWN,[Blank Code],[Blank Date],F,-88.060381,44.448881
165,FLD980494660,BEULAH LANDFILL,PENSACOLA,FL,ESCAMBIA,[Blank Code],[Blank Date],D,-87.216915,30.421309
166,VTD980520092,BFI SANITARY LANDFILL (ROCKINGHAM),ROCKINGHAM,VT,WINDHAM,[Blank Code],[Blank Date],F,-72.488929,43.187603
167,OHD980611735,BIG D CAMPGROUND,KINGSVILLE,OH,ASHTABULA,[Blank Code],[Blank Date],F,-80.675867,41.890125
168,WVD054827944,BIG JOHN SALVAGE - HOULT ROAD,FAIRMONT,WV,MARION,[Blank Code],[Blank Date],F,-80.142578,39.485085
169,MOD981126899,BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP.,DESLOGE,MO,ST. FRANCOIS,[Blank Code],[Blank Date],F,-90.527347,37.870885
170,KSD980686174,BIG RIVER SAND CO.,WICHITA,KS,SEDGWICK,NF,01/09/2012,D,-97.336111,37.688889
171,TXD980340889,"BIO-ECOLOGY SYSTEMS, INC.",GRAND PRAIRIE,TX,DALLAS,[Blank Code],[Blank Date],D,-96.997785,32.745965
172,NYD980768683,"BIOCLINICAL LABORATORIES, INC.",BOHEMIA,NY,SUFFOLK,[Blank Code],[Blank Date],D,-73.115112,40.769265
173,OR0000515759,BLACK BUTTE MINE,COTTAGE GROVE,OR,LANE,[Blank Code],[Blank Date],F,-123.059525,43.797623
174,NYN000206296,BLACK RIVER PCBS,TOWN OF CHAMPION,NY,JEFFERSON,[Blank Code],[Blank Date],F,-75.690195,43.962289
175,IDD980725832,BLACKBIRD MINE,LEMHI COUNTY,ID,LEMHI,[Blank Code],[Blank Date],P,-113.923055,45.036459
176,MAD982191363,BLACKBURN & UNION PRIVILEGES,WALPOLE,MA,NORFOLK,[Blank Code],[Blank Date],F,-71.24951,42.141744
177,PAD980539985,BLOSENSKI LANDFILL,WEST CALN TOWNSHIP,PA,CHESTER,[Blank Code],[Blank Date],F,-75.867689,40.010908
178,CAN000906063,BLUE LEDGE MINE,ROGUE RIVER-SISKIYOU NF,CA,SISKIYOU,[Blank Code],[Blank Date],F,-119.417932,36.778261
179,NCD044447589,BLUE RIDGE PLATING COMPANY,ARDEN,NC,BUNCOMBE,[Blank Code],[Blank Date],F,-82.516698,35.466161
180,FLD052172954,BMI-TEXTRON,LAKE PARK,FL,PALM BEACH,[Blank Code],[Blank Date],D,-80.066431,26.80034
181,PAD047726161,BOARHEAD FARMS,BRIDGETON TOWNSHIP,PA,BUCKS,[Blank Code],[Blank Date],F,-75.113672,40.557636
182,MID006030373,"BOFORS NOBEL, INC.",MUSKEGON,MI,MUSKEGON,[Blank Code],[Blank Date],F,-86.248392,43.234181
183,NJD063157150,BOG CREEK FARM,HOWELL TOWNSHIP,NJ,MONMOUTH,[Blank Code],[Blank Date],F,-74.208267,40.164579
184,MND053417515,"BOISE CASCADE/ONAN CORP./MEDTRONICS, INC.",FRIDLEY,MN,ANOKA,[Blank Code],[Blank Date],D,-93.263282,45.086077
185,WA1891406349,BONNEVILLE POWER ADMINISTRATION ROSS COMPLEX (USDOE),VANCOUVER,WA,CLARK,[Blank Code],[Blank Date],D,-122.661486,45.638728
186,WAD009624453,BOOMSNUB/AIRCO,VANCOUVER,WA,CLARK,[Blank Code],[Blank Date],F,-122.661486,45.638728
